knapPI_16_50_1000
n 50
c 10090
z 22331
time 0.00
1,222,28,1
2,698,296,1
3,1057,782,0
4,1128,934,0
5,833,439,1
6,1043,755,0
7,1028,727,0
8,588,205,1
9,975,636,1
10,564,188,1
11,950,597,1
12,1147,981,0
13,1011,697,0
14,516,156,1
15,1140,965,0
16,1134,950,0
17,1060,788,0
18,789,388,0
19,680,280,1
20,881,499,1
21,846,455,1
22,614,225,1
23,1090,850,0
24,635,242,1
25,991,663,0
26,972,632,0
27,812,414,1
28,1105,881,0
29,698,296,1
30,909,538,1
31,795,395,1
32,178,18,1
33,583,202,1
34,634,241,1
35,947,593,0
36,826,431,1
37,557,183,1
38,293,49,1
39,1143,972,0
40,94,5,1
41,625,234,1
42,799,399,1
43,705,303,1
44,619,229,1
45,558,184,1
46,667,269,1
47,861,474,1
48,555,182,1
49,915,546,1
50,646,251,1
-----
